,date,state,fips,cases,deaths,month
4926,2020-05-31,Kansas,20,9878,211,5
4925,2020-05-31,Iowa,19,19621,537,5
4924,2020-05-31,Indiana,18,35429,2134,5
4923,2020-05-31,Illinois,17,120588,5426,5
4922,2020-05-31,Idaho,16,2855,82,5
4921,2020-05-31,Hawaii,15,642,17,5
4920,2020-05-31,Guam,66,1144,6,5
4919,2020-05-31,Georgia,13,45051,2019,5
4918,2020-05-31,Florida,12,56155,2450,5
4895,2020-05-30,Puerto Rico,72,3718,133,5
4894,2020-05-30,Pennsylvania,42,75789,5537,5
4893,2020-05-30,Oregon,41,4185,153,5
6834,2020-05-07,Alabama,1,43953,1007,5
6836,2020-05-07,Arizona,4,98126,1829,5
6837,2020-05-07,Arkansas,5,23814,287,5
6838,2020-05-07,California,6,271587,6369,5
6839,2020-05-07,Colorado,8,34100,1703,5
6840,2020-05-07,Connecticut,9,46717,4335,5
6841,2020-05-07,Delaware,10,12128,512,5
6842,2020-05-07,District of Columbia,11,10482,559,5
6843,2020-05-07,Florida,12,200103,3730,5
6844,2020-05-07,Georgia,13,89489,2812,5
6845,2020-05-07,Guam,66,1257,6,5
6846,2020-05-07,Hawaii,15,1005,19,5
6847,2020-05-07,Idaho,16,7799,94,5
6848,2020-05-07,Illinois,17,148730,7241,5
6849,2020-05-07,Indiana,18,49203,2693,5
6850,2020-05-07,Iowa,19,31612,721,5
6851,2020-05-07,Kansas,20,16289,287,5
6852,2020-05-07,Kentucky,21,16712,608,5
6835,2020-05-07,Alaska,2,1371,14,5
4873,2020-05-30,Louisiana,22,39682,2785,5
4892,2020-05-30,Oklahoma,40,6418,334,5
4874,2020-05-30,Maine,23,2282,89,5
4891,2020-05-30,Ohio,39,35034,2149,5
4890,2020-05-30,Northern Mariana Islands,69,22,2,5
4889,2020-05-30,North Dakota,38,2557,63,5
4888,2020-05-30,North Carolina,37,27761,903,5
4887,2020-05-30,New York,36,374471,29612,5
4886,2020-05-30,New Mexico,35,7624,351,5
4885,2020-05-30,New Jersey,34,159608,11634,5
4884,2020-05-30,New Hampshire,33,4545,242,5
4883,2020-05-30,Nevada,32,8519,417,5
4882,2020-05-30,Nebraska,31,13905,177,5
4881,2020-05-30,Montana,30,505,17,5
4880,2020-05-30,Missouri,29,13118,782,5
4879,2020-05-30,Mississippi,28,15229,723,5
4878,2020-05-30,Minnesota,27,24200,1036,5
4877,2020-05-30,Michigan,26,56848,5463,5
4876,2020-05-30,Massachusetts,25,96301,6768,5
4875,2020-05-30,Maryland,24,52662,2509,5
4935,2020-05-31,Missouri,29,13297,784,5
4937,2020-05-31,Nebraska,31,14101,178,5
6854,2020-05-07,Maine,23,3415,109,5
5210,2020-05-06,Missouri,29,14515,816,5
5218,2020-05-06,North Carolina,37,33417,1001,5
5217,2020-05-06,New York,36,381019,30066,5
5216,2020-05-06,New Mexico,35,8672,387,5
5215,2020-05-06,New Jersey,34,163336,12049,5
5214,2020-05-06,New Hampshire,33,4953,278,5
5213,2020-05-06,Nevada,32,9306,436,5
5212,2020-05-06,Nebraska,31,15379,193,5
5211,2020-05-06,Montana,30,539,18,5
5209,2020-05-06,Mississippi,28,16769,803,5
4938,2020-05-31,Nevada,32,8628,419,5
5208,2020-05-06,Minnesota,27,26991,1159,5
5207,2020-05-06,Michigan,26,63744,5854,5
5206,2020-05-06,Massachusetts,25,102557,7235,5
5205,2020-05-06,Maryland,24,57407,2702,5
5204,2020-05-06,Maine,23,2482,98,5
5203,2020-05-06,Louisiana,22,42100,2912,5
5202,2020-05-06,Kentucky,21,11051,476,5
5201,2020-05-06,Kansas,20,10493,233,5
5219,2020-05-06,North Dakota,38,2748,74,5
5220,2020-05-06,Northern Mariana Islands,69,26,2,5
5221,2020-05-06,Ohio,39,37758,2355,5
5222,2020-05-06,Oklahoma,40,7004,345,5
4396,2020-05-21,Ohio,39,30168,1836,5
5238,2020-05-06,Wyoming,56,933,17,5
5237,2020-05-06,Wisconsin,55,20427,634,5
5236,2020-05-06,West Virginia,54,2119,84,5
5235,2020-05-06,Washington,53,24546,1160,5
5234,2020-05-06,Virginia,51,48532,1453,5
5233,2020-05-06,Virgin Islands,78,71,6,5
5232,2020-05-06,Vermont,50,1027,55,5
5231,2020-05-06,Utah,49,11344,120,5
5230,2020-05-06,Texas,48,73323,1821,5
5229,2020-05-06,Tennessee,47,25799,405,5
5228,2020-05-06,South Dakota,46,5277,65,5
5227,2020-05-06,South Carolina,45,13453,538,5
5226,2020-05-06,Rhode Island,44,15441,772,5
5225,2020-05-06,Puerto Rico,72,4620,141,5
5224,2020-05-06,Pennsylvania,42,78908,5952,5
5223,2020-05-06,Oregon,41,4585,161,5
5200,2020-05-06,Iowa,19,21332,597,5
5199,2020-05-06,Indiana,18,37499,2258,5
5198,2020-05-06,Illinois,17,126317,5834,5
4957,2020-05-31,Vermont,50,981,55,5
4955,2020-05-31,Texas,48,64974,1683,5
4954,2020-05-31,Tennessee,47,22832,360,5
4953,2020-05-31,South Dakota,46,4993,62,5
4952,2020-05-31,South Carolina,45,11861,494,5
4951,2020-05-31,Rhode Island,44,14928,718,5
4950,2020-05-31,Puerto Rico,72,3776,136,5
4949,2020-05-31,Pennsylvania,42,76218,5555,5
4948,2020-05-31,Oregon,41,4243,153,5
4947,2020-05-31,Oklahoma,40,6506,334,5
4946,2020-05-31,Ohio,39,35513,2155,5
4945,2020-05-31,Northern Mariana Islands,69,22,2,5
4944,2020-05-31,North Dakota,38,2580,64,5
4943,2020-05-31,North Carolina,37,28686,911,5
4942,2020-05-31,New York,36,375575,29699,5
4941,2020-05-31,New Mexico,35,7689,356,5
4940,2020-05-31,New Jersey,34,160445,11698,5
