,date,state,fips,cases,deaths,month
3563,2020-06-05,Nevada,32,5744,286,6
3562,2020-06-05,Nebraska,31,6771,85,6
5270,2020-06-06,New Jersey,34,163893,12106,6
5269,2020-06-06,New Hampshire,33,5019,283,6
5268,2020-06-06,Nevada,32,9494,437,6
5248,2020-06-06,Florida,12,62750,2687,6
5246,2020-06-06,Delaware,10,9845,390,6
5245,2020-06-06,Connecticut,9,43818,4055,6
5244,2020-06-06,Colorado,8,27834,1527,6
5243,2020-06-06,California,6,129147,4626,6
5242,2020-06-06,Arkansas,5,9101,154,6
5241,2020-06-06,Arizona,4,25517,1046,6
5240,2020-06-06,Alaska,2,579,8,6
5239,2020-06-06,Alabama,1,20043,689,6
3534,2020-06-05,Alabama,1,8691,343,6
3535,2020-06-05,Alaska,2,370,8,6
3536,2020-06-05,Arizona,4,9707,426,6
3537,2020-06-05,Arkansas,5,3611,87,6
3538,2020-06-05,California,6,60787,2478,6
3539,2020-06-05,Colorado,8,17720,919,6
3540,2020-06-05,Connecticut,9,30995,2718,6
3541,2020-06-05,Delaware,10,5778,193,6
3542,2020-06-05,District of Columbia,11,5461,277,6
5247,2020-06-06,District of Columbia,11,9269,483,6
5275,2020-06-06,Northern Mariana Islands,69,26,2,6
5267,2020-06-06,Nebraska,31,15543,196,6
5249,2020-06-06,Georgia,13,48943,2147,6
5266,2020-06-06,Montana,30,540,18,6
5265,2020-06-06,Missouri,29,14659,823,6
5264,2020-06-06,Mississippi,28,17034,811,6
5263,2020-06-06,Minnesota,27,27512,1181,6
5262,2020-06-06,Michigan,26,64196,5894,6
5261,2020-06-06,Massachusetts,25,103132,7289,6
5260,2020-06-06,Maryland,24,58099,2740,6
5259,2020-06-06,Maine,23,2524,98,6
5258,2020-06-06,Louisiana,22,42597,2925,6
5257,2020-06-06,Kentucky,21,11359,480,6
5256,2020-06-06,Kansas,20,10517,234,6
5255,2020-06-06,Iowa,19,21527,602,6
5254,2020-06-06,Indiana,18,37928,2292,6
5253,2020-06-06,Illinois,17,127251,5898,6
5252,2020-06-06,Idaho,16,3139,83,6
5251,2020-06-06,Hawaii,15,661,17,6
5250,2020-06-06,Guam,66,1148,6,6
3579,2020-06-05,Tennessee,47,13737,237,6
3580,2020-06-05,Texas,48,35441,985,6
3581,2020-06-05,Utah,49,5605,59,6
5626,2020-06-13,Arizona,4,34773,1190,6
5624,2020-06-13,Alabama,1,24601,773,6
322,2020-06-03,Arizona,4,3,0,6
323,2020-06-03,California,6,81,1,6
324,2020-06-03,Colorado,8,8,0,6
325,2020-06-03,Florida,12,7,2,6
326,2020-06-03,Georgia,13,3,0,6
