,date,state,fips,cases,deaths,month
6789,2020-04-07,Georgia,13,87592,2809,4
6808,2020-04-07,Nevada,32,21671,530,4
6807,2020-04-07,Nebraska,31,19826,285,4
6806,2020-04-07,Montana,30,1167,23,4
6805,2020-04-07,Missouri,29,24061,1062,4
6804,2020-04-07,Mississippi,28,30674,1107,4
6803,2020-04-07,Minnesota,27,37661,1503,4
6802,2020-04-07,Michigan,26,72702,6222,4
6801,2020-04-07,Massachusetts,25,109838,8172,4
6800,2020-04-07,Maryland,24,69724,3236,4
6799,2020-04-07,Maine,23,3397,107,4
6798,2020-04-07,Louisiana,22,63397,3278,4
6797,2020-04-07,Kentucky,21,16709,608,4
6796,2020-04-07,Kansas,20,16165,284,4
6795,2020-04-07,Iowa,19,31167,721,4
6794,2020-04-07,Indiana,18,48628,2687,4
6793,2020-04-07,Illinois,17,148151,7234,4
6792,2020-04-07,Idaho,16,7431,94,4
6791,2020-04-07,Hawaii,15,981,19,4
6790,2020-04-07,Guam,66,1257,6,4
2319,2020-04-13,Virginia,51,5746,149,4
2320,2020-04-13,Washington,53,10547,525,4
2321,2020-04-13,West Virginia,54,638,9,4
2448,2020-04-16,Illinois,17,25734,1081,4
2439,2020-04-16,Colorado,8,8675,374,4
2440,2020-04-16,Connecticut,9,15884,971,4
2441,2020-04-16,Delaware,10,2075,52,4
2442,2020-04-16,District of Columbia,11,2350,81,4
2443,2020-04-16,Florida,12,23332,667,4
2444,2020-04-16,Georgia,13,15644,611,4
2445,2020-04-16,Guam,66,790,6,4
2446,2020-04-16,Hawaii,15,535,9,4
2447,2020-04-16,Idaho,16,1609,41,4
2449,2020-04-16,Indiana,18,9619,554,4
2322,2020-04-13,Wisconsin,55,3428,155,4
2450,2020-04-16,Iowa,19,2141,60,4
2451,2020-04-16,Kansas,20,1595,80,4
2452,2020-04-16,Kentucky,21,2429,131,4
2453,2020-04-16,Louisiana,22,22532,1156,4
2454,2020-04-16,Maine,23,796,27,4
2455,2020-04-16,Maryland,24,10851,459,4
2456,2020-04-16,Massachusetts,25,32181,1245,4
2457,2020-04-16,Michigan,26,29120,2092,4
2458,2020-04-16,Minnesota,27,1912,94,4
2438,2020-04-16,California,6,28142,971,4
2437,2020-04-16,Arkansas,5,1620,37,4
2436,2020-04-16,Arizona,4,4234,152,4
2435,2020-04-16,Alaska,2,298,7,4
2416,2020-04-15,Ohio,39,7791,361,4
2417,2020-04-15,Oklahoma,40,2263,123,4
2418,2020-04-15,Oregon,41,1663,58,4
2419,2020-04-15,Pennsylvania,42,26804,833,4
2420,2020-04-15,Puerto Rico,72,974,51,4
2421,2020-04-15,Rhode Island,44,3529,87,4
2422,2020-04-15,South Carolina,45,3656,107,4
2423,2020-04-15,South Dakota,46,1168,6,4
2424,2020-04-15,Tennessee,47,5864,135,4
2425,2020-04-15,Texas,48,16106,395,4
2426,2020-04-15,Utah,49,2549,20,4
2427,2020-04-15,Vermont,50,759,29,4
2428,2020-04-15,Virgin Islands,78,51,1,4
2429,2020-04-15,Virginia,51,6502,195,4
2430,2020-04-15,Washington,53,10806,572,4
2431,2020-04-15,West Virginia,54,725,12,4
2432,2020-04-15,Wisconsin,55,3721,184,4
2433,2020-04-15,Wyoming,56,392,2,4
2434,2020-04-16,Alabama,1,4404,137,4
2459,2020-04-16,Mississippi,28,3624,129,4
2460,2020-04-16,Missouri,29,5111,170,4
2461,2020-04-16,Montana,30,415,7,4
2484,2020-04-16,Virginia,51,6891,208,4
2486,2020-04-16,West Virginia,54,739,13,4
2487,2020-04-16,Wisconsin,55,3875,197,4
2488,2020-04-16,Wyoming,56,393,2,4
2489,2020-04-17,Alabama,1,4572,151,4
2490,2020-04-17,Alaska,2,307,7,4
2491,2020-04-17,Arizona,4,4507,174,4
2492,2020-04-17,Arkansas,5,1695,37,4
2493,2020-04-17,California,6,29398,1050,4
2494,2020-04-17,Colorado,8,9047,389,4
2495,2020-04-17,Connecticut,9,16809,1036,4
2496,2020-04-17,Delaware,10,2323,61,4
2497,2020-04-17,District of Columbia,11,2476,86,4
2498,2020-04-17,Florida,12,24745,725,4
2499,2020-04-17,Georgia,13,16658,661,4
2500,2020-04-17,Guam,66,796,6,4
2501,2020-04-17,Hawaii,15,547,9,4
2502,2020-04-17,Idaho,16,1655,43,4
2503,2020-04-17,Illinois,17,27575,1142,4
2504,2020-04-17,Indiana,18,10235,599,4
2485,2020-04-16,Washington,53,11180,588,4
2483,2020-04-16,Virgin Islands,78,51,2,4
2462,2020-04-16,Nebraska,31,1094,24,4
2482,2020-04-16,Vermont,50,768,34,4
2463,2020-04-16,Nevada,32,3321,142,4
2464,2020-04-16,New Hampshire,33,1211,34,4
2465,2020-04-16,New Jersey,34,75317,3518,4
2466,2020-04-16,New Mexico,35,1597,44,4
2467,2020-04-16,New York,36,225761,15669,4
2468,2020-04-16,North Carolina,37,5463,140,4
2469,2020-04-16,North Dakota,38,393,9,4
2470,2020-04-16,Northern Mariana Islands,69,13,2,4
2471,2020-04-16,Ohio,39,8414,389,4
2472,2020-04-16,Oklahoma,40,2357,131,4
2473,2020-04-16,Oregon,41,1736,64,4
2474,2020-04-16,Pennsylvania,42,28314,940,4
2475,2020-04-16,Puerto Rico,72,1043,56,4
2476,2020-04-16,Rhode Island,44,3838,105,4
2477,2020-04-16,South Carolina,45,3931,109,4
2478,2020-04-16,South Dakota,46,1311,7,4
2479,2020-04-16,Tennessee,47,6077,142,4
2480,2020-04-16,Texas,48,16928,428,4
2481,2020-04-16,Utah,49,2687,21,4
2415,2020-04-15,Northern Mariana Islands,69,13,2,4
2414,2020-04-15,North Dakota,38,365,9,4
2413,2020-04-15,North Carolina,37,5123,128,4
2344,2020-04-14,Maine,23,734,20,4
2346,2020-04-14,Massachusetts,25,28163,957,4
2347,2020-04-14,Michigan,26,26845,1767,4
2348,2020-04-14,Minnesota,27,1695,79,4
2349,2020-04-14,Mississippi,28,3087,111,4
2350,2020-04-14,Missouri,29,4686,151,4
2352,2020-04-14,Nebraska,31,930,21,4
2353,2020-04-14,Nevada,32,3137,130,4
2354,2020-04-14,New Hampshire,33,1091,27,4
2355,2020-04-14,New Jersey,34,68824,2805,4
2356,2020-04-14,New Mexico,35,1407,36,4
2357,2020-04-14,New York,36,205375,14001,4
2358,2020-04-14,North Carolina,37,4992,116,4
2359,2020-04-14,North Dakota,38,341,9,4
2360,2020-04-14,Northern Mariana Islands,69,13,2,4
2361,2020-04-14,Ohio,39,7280,324,4
2362,2020-04-14,Oklahoma,40,2184,109,4
2363,2020-04-14,Oregon,41,1633,55,4
2364,2020-04-14,Pennsylvania,42,25591,746,4
2365,2020-04-14,Puerto Rico,72,923,45,4
2345,2020-04-14,Maryland,24,9472,302,4
2343,2020-04-14,Louisiana,22,21518,1013,4
2367,2020-04-14,South Carolina,45,3553,97,4
2342,2020-04-14,Kentucky,21,2210,115,4
2323,2020-04-13,Wyoming,56,373,1,4
2324,2020-04-14,Alabama,1,3953,114,4
2325,2020-04-14,Alaska,2,283,7,4
2326,2020-04-14,Arizona,4,3806,131,4
2327,2020-04-14,Arkansas,5,1498,32,4
2328,2020-04-14,California,6,25758,778,4
2329,2020-04-14,Colorado,8,7941,329,4
2330,2020-04-14,Connecticut,9,13989,671,4
2331,2020-04-14,Delaware,10,1926,43,4
2332,2020-04-14,District of Columbia,11,2058,67,4
2333,2020-04-14,Florida,12,21620,570,4
2334,2020-04-14,Georgia,13,13913,517,4
2335,2020-04-14,Guam,66,721,6,4
2336,2020-04-14,Hawaii,15,511,9,4
2337,2020-04-14,Idaho,16,1538,39,4
2338,2020-04-14,Illinois,17,23247,878,4
2339,2020-04-14,Indiana,18,8598,458,4
2340,2020-04-14,Iowa,19,1899,44,4
